Param;Result
KINT;0.1956521739130435
R05;0.2391304347826087
R20;0.1956521739130435
R14;0.2608695652173913
R10;0.1956521739130435
F07;0.2608695652173913
F10;0.15217391304347827
F14;0.2826086956521739
R07;0.2826086956521739
F20;0.2391304347826087
F05;0.2608695652173913
PHIT;0.15555555555555556
MRES;0.24444444444444444
SG;0.13333333333333333
KGL;0.17777777777777778
SXWB;0.24444444444444444
GZ3;0.2608695652173913
NPHI;0.28888888888888886
GZ2;0.21739130434782608
GZ4;0.21739130434782608
GZ1;0.2826086956521739
CILD;0.15217391304347827
PROX;0.2826086956521739
LLD;0.1956521739130435
GZ7;0.30434782608695654
APS;0.06976744186046512
KPS;0.20930232558139536
GZ5;0.17391304347826086
