Param;Mse
KINT;0.028800005325446017
R05;0.04284232087663807
R20;0.020081436421228026
R14;0.017620892065316925
R10;0.021160665247342992
F07;0.023152392330434816
F10;0.023169907009798908
F14;0.021789688391274386
R07;0.021819292726776983
F20;0.024961610589777642
F05;0.027559395869565215
PHIT;0.02331426120531174
MRES;0.018517274826341888
SG;0.026597589105175793
KGL;0.029985904979678794
SXWB;0.03387529528599169
GZ3;0.02808478139489185
NPHI;0.030107697771938405
GZ2;0.023951121716154867
GZ4;0.0195399197888144
GZ1;0.02146021435413127
CILD;0.02851201626259915
PROX;0.02825059661835748
LLD;0.02592569655069881
GZ7;0.022531532488853187
APS;0.036106616436431975
KPS;0.029226243484521346
GZ5;0.030286722390394344
