Скважина;Дата запуска; Начальная обводненность 
380;04.07.1905;0.49
379;01.12.2006;0.30
370;01.02.2007;0.13
417;01.03.2007;0.08
389;01.08.2007;0.22
381;01.08.2007;0.32
387;01.09.2007;0.23
397;01.09.2007;0.33
416;01.09.2007;0.10
434;01.10.2007;0.10
415;01.03.2008;0.12
544;01.06.2008;0.09
554;01.06.2008;0.08
543;01.07.2008;0.01
556;01.07.2008;0.08
542;01.08.2008;0.01
548;01.08.2008;0.01
547G;01.11.2008;0.08
546;01.02.2009;0.17
555;01.02.2009;0.10
545;01.04.2009;0.08
535;01.08.2009;0.16
536;01.08.2009;0.26
530;01.08.2009;0.20
534;01.09.2009;0.52
537;01.09.2009;0.34
539;01.09.2009;0.70
526;01.01.2010;0.21
532;01.01.2010;0.30
527;01.02.2010;0.34
528;01.02.2010;0.28
533;01.02.2010;0.46
538;01.02.2010;0.33
531;01.02.2010;0.37
522;01.03.2010;0.26
523;01.03.2010;0.24
529;01.03.2010;0.37
557;01.03.2010;0.41
519;01.04.2010;0.16
593;01.04.2010;0.25
564;01.05.2010;0.24
587;01.05.2010;0.16
553;01.06.2010;0.37
559;01.06.2010;0.13
551;01.06.2010;0.20
563;01.06.2010;0.33
566;01.06.2010;0.43
567;01.06.2010;0.25
569;01.06.2010;0.20
520;01.07.2010;0.24
541;01.07.2010;0.17
562;01.07.2010;0.21
565;01.07.2010;0.35
560;01.07.2010;0.11
579;01.07.2010;0.11
558;01.08.2010;0.15
572;01.08.2010;0.36
575;01.08.2010;0.29
578;01.08.2010;0.15
588;01.08.2010;0.38
514;01.09.2010;0.46
518;01.09.2010;0.33
573;01.09.2010;0.30
576;01.09.2010;0.40
577;01.09.2010;0.42
580;01.09.2010;0.30
516;01.10.2010;0.26
549;01.10.2010;0.50
362;01.11.2010;0.46
517;01.11.2010;0.44
568;01.11.2010;0.16
561;01.11.2010;0.21
582;01.11.2010;0.37
583;01.11.2010;0.32
584;01.11.2010;0.44
359;01.12.2010;0.47
515;01.01.2011;0.38
571;01.01.2011;0.46
594;01.01.2011;0.36
357;01.02.2011;0.42
525;01.02.2011;0.16
589;01.03.2011;0.22
353;01.04.2011;0.28
355;01.04.2011;0.16
550;01.04.2011;0.79
365ST3;01.04.2011;0.78
368;01.05.2011;0.19
373;01.05.2011;0.20
512;01.05.2011;0.08
511;01.05.2011;0.10
348;01.06.2011;0.10
356;01.06.2011;0.31
345;01.07.2011;0.47
341;01.07.2011;0.28
354;01.07.2011;0.16
360;01.07.2011;0.12
361;01.07.2011;0.37
372;01.07.2011;0.16
374;01.07.2011;0.18
340;01.08.2011;0.37
334;01.09.2011;0.35
339;01.09.2011;0.20
366;01.09.2011;0.08
367;01.09.2011;0.08
342;01.10.2011;0.10
352;01.10.2011;0.56
369;01.10.2011;0.25
333;01.11.2011;0.20
332;01.12.2011;0.23
338;01.12.2011;0.12
510;01.02.2012;0.52
371;01.07.2012;0.30
384;01.07.2012;0.44
385;01.08.2012;0.16
302;01.08.2012;0.55
308;01.08.2012;0.28
301;01.08.2012;0.47
412;01.08.2012;0.44
386;01.09.2012;0.20
382;01.10.2012;0.34
390;01.11.2012;0.28
306;01.11.2012;0.09
300;01.11.2012;0.12
398;01.03.2013;0.12
414;01.04.2013;0.15
391;01.06.2013;0.68
307;01.06.2013;0.73
312;01.07.2013;0.26
413;01.07.2013;0.40
329ST3;01.07.2013;0.72
396;01.09.2013;0.20
418;01.09.2013;0.22
316;01.10.2013;0.42
388;01.10.2013;0.35
304;01.10.2013;0.40
425;01.10.2013;0.41
336G;01.10.2013;0.34
326;01.11.2013;0.43
395;01.11.2013;0.16
328;01.02.2014;0.32
337G;01.02.2014;0.43
4R;01.02.2014;0.52
317;01.04.2014;0.38
324;01.04.2014;0.26
662;01.04.2014;0.75
325;01.05.2014;0.24
664;01.05.2014;0.84
313;01.06.2014;0.28
667;01.06.2014;0.90
647ST3;01.08.2014;0.48
637;01.09.2014;0.58
335G;01.09.2014;0.34
642G;01.09.2014;0.30
653ST3;01.09.2014;0.53
648;01.10.2014;0.17
319;01.12.2014;0.51
319;01.12.2014;0.51
310;01.12.2014;0.46
445;01.12.2014;0.18
630;01.12.2014;0.64
311;01.01.2015;0.41
639;01.01.2015;0.28
645;01.02.2015;0.37
322G;01.02.2015;0.42
323;01.04.2015;0.46
431;01.05.2015;0.24
453;01.05.2015;0.57
441;01.06.2015;0.28
452;01.06.2015;0.37
442;01.07.2015;0.49
443;01.07.2015;0.49
440;01.09.2015;0.55
454;01.10.2015;0.22
457;01.10.2015;0.44
455;01.11.2015;0.38
458;01.01.2016;0.42
459;01.04.2016;0.36
450;01.04.2016;0.68
815;01.09.2016;0.23
813;01.10.2016;0.26
818G4;01.04.2017;0.73
