well_name;well_name_uwi
224st4;314_103ST2
238st4;314_117ST2
274st4;314_153ST2
300;314_198
301;314_199
302;314_190
304;314_192
305;314_193
306;314_194
307;314_195
308;314_196
310;314_108
311;314_109
312;314_100
313;314_101
314;314_102
315;314_103
316;314_104
317;314_105
318;314_106
319;314_107
322g;314_110G
322pl;314_110PL
323;314_111
324;314_112
325;314_113
326;314_114
328;314_116
329;314_117
330pl;314_128PL
331;314_129
332;314_120
333;314_121
334;314_122
335g;314_123G
335pl;314_123PL
336g;314_124G
336pl;314_124PL
337g;314_125G
337pl;314_125PL
338;314_126
339;314_127
340;314_138
341;314_139
342;314_130
345;314_133
346;314_134
348;314_136
352;314_140
353;314_141
354;314_142
355;314_143
356;314_144
357;314_145
358;314_146
359;314_147
360;314_158
361;314_159
362;314_150
365;314_153
366;314_154
367;314_155
368;314_156
369;314_157
370;314_168
371;314_169
372;314_160
373;314_161
374;314_162
379;314_167
380;314_178
382;314_170
384;314_172
385;314_173
386;314_174
387;314_175
388;314_176
389;314_177
390;314_188
391;314_189
395;314_183
396;314_184
397;314_185
398;314_186
3wz;314_1WZ
400r;314_298R
401r;314_299R
407r;314_295R
408r;314_296R
409r;314_297R
412;314_200
413;314_201
414;314_202
415;314_203
416;314_204
417;314_205
418;314_206
425;314_213
427;314_215
431;314_229
434;314_222
440;314_238
441;314_239
442;314_230
443;314_231
445;314_233
450;314_248
452;314_240
453;314_241
454;314_242
455;314_243
457;314_245
458;314_246
459;314_247
4r;314_2R
4wz;314_2WZ
510;314_308
511;314_309
512;314_300
512r;314_300R
513r;314_301R
514;314_302
515;314_303
516;314_304
517;314_305
518;314_306
519;314_307
520;314_318
522;314_310
523;314_311
525;314_313
526;314_314
527;314_315
528;314_316
529;314_317
530;314_328
531;314_329
532;314_320
533;314_321
534;314_322
535;314_323
536;314_324
537;314_325
538;314_326
539;314_327
541;314_339
542;314_330
543;314_331
544;314_332
545;314_333
546;314_334
547;314_335
548;314_336
549;314_337
550;314_348
551;314_349
552;314_340
553;314_341
554;314_342
555;314_343
556;314_344
556st4;314_435ST2
557;314_345
558;314_346
559;314_347
560;314_358
561;314_359
562;314_350
562st4;314_441ST2
563;314_351
564;314_352
565;314_353
566;314_354
567;314_355
568;314_356
569;314_357
571;314_369
572;314_360
573;314_361
574;314_362
575;314_363
576;314_364
577;314_365
578;314_366
579;314_367
580;314_378
582;314_370
583;314_371
584;314_372
587;314_375
588;314_376
589;314_377
593;314_381
594;314_382
630;314_428
637;314_425
639;314_427
640;314_438
642g;314_430G
643pl;314_431PL
645;314_433
647;314_435
648;314_436
653;314_441
662;314_450
664;314_452
665pl;314_453PL
667;314_455
721st4;314_600ST2
727g4;314_606G2
812;314_600
813;314_601
815;314_603
818g;314_606G
840;314_638
841;314_639
850;314_648
852;314_640
853;314_641
855;314_643
856;314_644
857;314_645
859;314_647
